Text,Model,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum,BLEU,Topsis Score,Rank
1,facebook/bart-large-cnn,0.1666666666666666,0.0575916230366492,0.1145833333333333,0.1197916666666666,7.339044923366604e-82,0.148828507907114,4
1,philschmid/bart-large-cnn-samsum,0.2046035805626598,0.1439588688946015,0.1687979539641943,0.1841432225063938,0.0007625907179933,0.7457399617008308,2
1,Falconsai/text_summarization,0.1927083333333333,0.1361256544502617,0.1770833333333333,0.1822916666666667,0.0003531993430556,0.5123866709747698,3
1,sshleifer/distilbart-cnn-12-6,0.2193877551020407,0.1846153846153846,0.1836734693877551,0.2193877551020407,0.0010182904879418,1.0,1
1,knkarthick/MEETING_SUMMARY,0.1372031662269129,0.0689655172413793,0.0791556728232189,0.0791556728232189,2.8305685727977527e-82,0.03762878102897143,5
2,facebook/bart-large-cnn,0.388235294117647,0.25,0.2705882352941176,0.2470588235294117,0.0242861243716839,0.0,5
2,philschmid/bart-large-cnn-samsum,0.3999999999999999,0.2619047619047619,0.3529411764705882,0.3647058823529411,0.0246356548367945,0.23511184918605185,4
2,Falconsai/text_summarization,0.4581005586592178,0.327683615819209,0.3687150837988826,0.4022346368715083,0.0721669961214752,0.7049196645358224,2
2,sshleifer/distilbart-cnn-12-6,0.4972972972972973,0.3497267759562841,0.4756756756756756,0.4756756756756756,0.0853024711562076,1.0,1
2,knkarthick/MEETING_SUMMARY,0.3953488372093023,0.2588235294117647,0.3488372093023256,0.3720930232558139,0.0355075997502452,0.2903603522999511,3
3,facebook/bart-large-cnn,0.3745019920318724,0.3293172690763052,0.3585657370517928,0.3585657370517928,0.0256386960654925,0.5448020711447448,4
3,philschmid/bart-large-cnn-samsum,0.3968871595330739,0.3215686274509804,0.3501945525291828,0.3657587548638132,0.0340209712037262,0.6650428605808874,2
3,Falconsai/text_summarization,0.36144578313253,0.3481781376518218,0.36144578313253,0.36144578313253,0.0308318573511261,0.6267695793512081,3
3,sshleifer/distilbart-cnn-12-6,0.4031007751937984,0.359375,0.3953488372093023,0.3953488372093023,0.0510088940380632,1.0,1
3,knkarthick/MEETING_SUMMARY,0.3107569721115537,0.1606425702811245,0.2071713147410358,0.2231075697211155,0.0098962112558928,0.0,5
